Datos del motor: 
Motor: Binatio Metodo: Mixto
n0: 17
n: 17
a: 9
c: 43
b: 7
h: 128
m: 128

Corrida.
 h,n 
0, 0.1328125
1, 0.53125
2, 0.1171875
3, 0.390625
4, 0.8515625
5, 0.0
6, 0.3359375
7, 0.359375
8, 0.5703125
9, 0.46875
10, 0.5546875
11, 0.328125
12, 0.2890625
13, 0.9375
14, 0.7734375
15, 0.296875
16, 0.0078125
17, 0.40625
18, 0.9921875
19, 0.265625
20, 0.7265625
21, 0.875
22, 0.2109375
23, 0.234375
24, 0.4453125
25, 0.34375
26, 0.4296875
27, 0.203125
28, 0.1640625
29, 0.8125
30, 0.6484375
31, 0.171875
32, 0.8828125
33, 0.28125
34, 0.8671875
35, 0.140625
36, 0.6015625
37, 0.75
38, 0.0859375
39, 0.109375
40, 0.3203125
41, 0.21875
42, 0.3046875
43, 0.078125
44, 0.0390625
45, 0.6875
46, 0.5234375
47, 0.046875
48, 0.7578125
49, 0.15625
50, 0.7421875
51, 0.015625
52, 0.4765625
53, 0.625
54, 0.9609375
55, 0.984375
56, 0.1953125
57, 0.09375
58, 0.1796875
59, 0.953125
60, 0.9140625
61, 0.5625
62, 0.3984375
63, 0.921875
64, 0.6328125
65, 0.03125
66, 0.6171875
67, 0.890625
68, 0.3515625
69, 0.5
70, 0.8359375
71, 0.859375
72, 0.0703125
73, 0.96875
74, 0.0546875
75, 0.828125
76, 0.7890625
77, 0.4375
78, 0.2734375
79, 0.796875
80, 0.5078125
81, 0.90625
82, 0.4921875
83, 0.765625
84, 0.2265625
85, 0.375
86, 0.7109375
87, 0.734375
88, 0.9453125
89, 0.84375
90, 0.9296875
91, 0.703125
92, 0.6640625
93, 0.3125
94, 0.1484375
95, 0.671875
96, 0.3828125
97, 0.78125
98, 0.3671875
99, 0.640625
100, 0.1015625
